Код;Артикул;Номенклатура;Остаток;Цена
014043;М1206;Блюдо Нежность с крышкой /4/;7;185.05
029733;М6368;Блюдо для выпечки с крышкой /5/;5;376.73
025750;М4659;Ваза Хрустальпрозр.-красн. /8/;20;141.48
024619;М5460;Ваза Хрусталь малая прозр. фиолет.-бел. /15/;11;80.44
025162;М5459;Ваза Хрусталь малая прозр.-зел. /15/;12;80.44
024523;М5458;Ваза Хрусталь малая прозр.-зел. /15/;16;80.44
025747;М5471;Ваза Хрусталь малая с кр. прозр.-красн. /16/;52;108.98
025745;М5473;Ваза Хрусталь малая с кр.прозр.зел. /16/;15;107.06
021649;М4661;Ваза Хрусталь прозр.-зел. /8/;10;141.48
021652;М4660;Ваза Хрусталь прозр.-син. /8/;38;141.48
012369;М1025;Ваза д/фруктов Богема /20/;33;58.03
004705;М562;Ваза д/фруктов Изобилие /20/;17;82.00
019570;М3048;Ваза д/цветовпод срезку с колышком белый /12/;12;115.69
024436;М5609;Ваза д/цветов Мозайка оранж./20/;1;103.87
024291;М5350;Ваза д/цветов h-310ммпод срезку белая /12/;6;88.01
024159;М5144;Ваза д/цветов h-310ммпод срезку черная /12/;7;88.01
029836;М6432;Ваза д/цветов h-425ммпод срезку белая /12/;6;93.38
029837;М6433;Ваза д/цветов h-425ммпод срезку черная /12/;24;93.38
024879;М5352;Ваза д/цветов h-440ммпод срезку белая /5/;10;100.26
024160;М5142;Ваза д/цветов h-440ммпод срезку черная /5/;9;100.35
015974;М1553;Ваза д/цветов прозр. /24/;4;80.17
025317;М3128;Вазон Венеция 17л.белый. /6/;15;339.64
025318;М3132;Вазон Венеция 17л.корчн. /6/;20;345.61
015464;М1389;Вазон Джулия 8л. белый /15/;14;109.19
016529;М1555;Вазон Джулия 8л. корич. /15/;10;111.11
015465;М1391;Вазон Жасмин 12л. белый/10/;19;170.33
019349;М1557;Вазон Жасмин 12л. корич. /уп 10/;3;170.33
015466;М1393;Вазон Жасмин 18л. белый /10/;15;218.17
015467;М1558;Вазон Жасмин 18л. корич. /уп10/;2;218.17
015468;М1394;Вазон Жасмин 6л. белый /10/;11;107.01
015469;М1559;Вазон Жасмин 6л. корич. /уп 10/;10;107.01
015470;М1395;Вазон Жасмин 9л. белый /10/;9;141.57
015471;М1560;Вазон Жасмин 9л. корич. /уп 10/;11;141.57
019350;М1390;Вазон Жасмин на высокой ножке 12л. белый /5/;17;262.17
019351;М1556;Вазон Жасмин на высокой ножке 12л. корич. /5/;13;262.17
019352;М1392;Вазон Жасмин на высокой ножке 18л. белый /5/;6;321.51
019412;М1396;Вазон Лозанна 20л. белый /3/;1;532.94
026525;М5442;Вазочка для варенья Мозайка маки /20/;38;41.35
026715;М3250;Ванна детская Карапуз голубой /5/;14;344.92
026716;М3222;Ванна детская Карапуз розовый /5/;15;344.92
026717;М3251;Ванна детская Карапуз салатовый /5/;14;344.92
017507;М1687;Ванна детская бол.Малышок розовый /5/;8;325.88
026718;М4408;Ванна детская бол.МалышокЛюкс розовый /5/;2;367.68
026719;М4409;Ванна детская бол.МалышокЛюкс синий /5/;3;367.67
016253;М1685;Ванна детская бол.Малышоксиний /5/;2;325.88
025751;М004;Вантуз п/э /25/;26;36.38
003565;М005;Вантуз резиновый /24/;53;50.93
017510;М2331;Ведро - туалет 17л. Люкс /10/;58;284.92
024798;М2330;Ведро - туалет 17л. Парма /10/;37;284.92
015917;М1526;Ведро - туалет 17л. бежевый /10/;73;217.42
016254;М1320;Ведро - туалет 17л. голубой /10/;77;217.42
016255;М1319;Ведро - туалет 17л. корич. /10/;164;213.66
019572;М3051;Ведро - туалет 17л. со сьемным горшком /5/;16;317.47
020833;М2328;Ведро - туалет 17л.Летний день /10/;22;284.92
017511;М2329;Ведро - туалет 17л.Плетенка /10/;3;284.92
021660;М4435;Ведро 10л. Камилла прозрачное/10/;8;173.63
021662;М4437;Ведро 10л. Мишель прозрачное /10/;1;160.57
021665;М4438;Ведро 10л. Сюзанна прозрачное /10/;26;176.69
026068;М1212;Ведро 10л. Хозяюшка /10/;17;84.50
022738;М3098;Ведро 12л. Грация с педалью для мусора /2/;3;402.12
030335;М520;Ведро 12л. Крепыш /10/;2;147.62
028619;М5598;Ведро 12л. Лолита с педалью для мусора /2/;1;380.95
015230;М1029;Ведро 14л. прямоугольное /10/;4;191.33
026987;МК340;Ведро 5л. Крепыш /20/;20;60.91
012720;М1182;Ведро 5л. Хозяюшка /20/;37;58.65
012721;М1178сК;Ведро 5л. Хозяюшка с крышкой /10/;15;70.24
026988;МК342;Ведро 7л. Крепыш /10/;22;94.77
012998;М1205;Ведро 7л. Хозяюшка /15/;5;71.60
026278;М1204;Ведро 7л. Хозяюшкас крышк. /10/;13;90.72
015975;М1380;Ведро д/мусора 10л. Ракушка голуб с педалью /1/;7;191.41
015976;М1379;Ведро д/мусора 10л. Ракушка зелен с педалью /1/;45;191.27
015977;М1381;Ведро д/мусора 10л. Ракушка серый с педалью /1/;4;191.41
016795;М1786;Ведро д/мусора 12л. Лотос голубой с педалью /2/;5;387.67
016796;М1785;Ведро д/мусора 12л. Плетенка св-серый с педалью /2/;10;387.67
010175;М1012;Ведро с отжимом 10л. прямоугольное /8/;77;134.90
023437;М5249;Велосипед трехколесный Ветерок красный/1/;1;1002.57
023438;М5250;Велосипед трехколесный Ветерок фиолетов./1/;1;1002.57
023439;М5251;Велосипед трехколесный Чемпион розовый/1/;1;1193.78
025755;М3427;Веник Камелия мягкий с черен.синий. /18/;8;131.37
012722;М862;Веник жесткий /24/;233;99.57
019724;М1267;Веник жесткий с черенком Комфорт-люкс /22/;28;132.32
012600;М915;Веник мягкий /24/;188;96.33
026069;М1814;Вешалка 40-42 р.Комфорт/25/;114;7.14
003620;М502;Вешалка 46-48 р.Лайт для сорочек /50/;24;14.38
003618;М444;Вешалка 50-52 р. Лайт /25/;76;21.35
005105;М589;Вешалка 52-54 р. с прищепкой /25/;14;43.01
026071;М1275;Воронка d100мм/28/;44;14.81
021106;М1276;Воронка d125мм/20/;37;18.00
